127.0.0.1 - - [13/Mar/2022:11:40:53 +0100] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:40:54 +0100] "GET /CRUD-MVC-JAVA/index.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:40:54 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:40:54 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:41:00 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:41:00 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:42:11 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:42:26 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:52:03 +0100] "GET /CRUD-MVC-JAVA/index.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:52:18 +0100] "GET /CRUD-MVC-JAVA/index.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:52:51 +0100] "GET /CRUD-MVC-JAVA/index.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:52:56 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:53:35 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:55:59 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listarr HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:55:59 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:03 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listarr HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:04 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:10 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=editar HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:10 +0100] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:13 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=editar HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:14 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:34 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Mar/2022:11:56:42 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/Mar/2022:12:23:08 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [13/Mar/2022:13:24:36 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [13/Mar/2022:13:24:39 +0100] "GET /CRUD-MVC-JAVA/Controlador?action=listar HTTP/1.1" 200 540
